,Title,Price,Rating,Num Of Reviews,Author,Book Type,Genre,Cover Image
1,يقولون الاولين,58,5,(73 reviews),‎وليد العنزي‎,Paperback,"Fiction & Literature,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/1/e/7/6/1e761c6ed4a5cad1a91dce3300843b80c41fba37_643542.jpg"
2,صفحة واحدة في المرة رفيق مبدع يومي,59,4.5,(37 reviews),‎أدم جيه كيرتز‎,Paperback,"Jarir Publications Books,, Self Development,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/462372.jpg"
3,المعاصر 9 تأسيس كمي ورقمي ومحوسب مع بنك المحوسب الجديد 80 اصدار,120,4.7,(29 reviews),‎عماد الجزيري‎,Paperback,"School Textbooks,, New Arrivals, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/f/e/8/3/fe8352d1794102cd8bee79a01b577b1f82c2036c_641633.jpg"
4,الاب الغني الاب الفقير ما يعلمه الاثرياء ولا يعلمه الفقراء,79,5,(24 reviews),‎روبرت تي كيوساكي‎,Paperback,"Jarir Publications Books,, Best Sellers,, Business & Management,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/7/479220.jpg"
5,مصحف القيام مقاس 25×35,89,Null,Null,‎ادهم فادي‎,غلاف مقوى فني,"Islamic & Religion Books,, New Arrivals,, Best Sellers","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/9/3/2/e/932ecff3798b1e39d71c4dc3b859cdf97c75d63f_584370.jpg"
6,ابق قويا 365 يوما في السنة,69,4.8,(17 reviews),‎ديمي لوفاتو‎,غلاف مقوى,"Jarir Publications Books,, Best Sellers,, Self Development,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/419110.jpg"
7,واختفي كل شيء,37,4.9,(91 reviews),‎أجاثا كريستي‎,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, New Arrivals,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/d/3/d/a/d3da9f41481911108f522382e7c43a991179e098_296955.jpg"
8,المعاصر اللفظي 9 ورقي ومحوسب 3 أجزاء,96,4.9,(15 reviews),‎عثمان عبدالله‎,Paperback,"School Textbooks,, New Arrivals,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/5/f/5/8/5f58c45a3a2c46a467f5b9b8aa024cf2e43e4f60_641634.jpg"
9,من الذي قتل السيد روجر أكرويد,37,5,(13 reviews),‎أجاثا كريستي‎,Paperback,"Jarir Publications Books,, Fiction & Literature,, Best Sellers,","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/296952.jpg"
10,ليلة لا تنتهي,37,4.3,(19 reviews),‎أجاثا كريستي‎,Paperback,"Jarir Publications Books,, Best Sellers,, Non-Fiction,, New Arrivals,, E-Books,, Fiction & Literature","https://www.jarir.com/cdn-cgi/image/fit=contain,width=350,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/1/411827.jpg"
